FechaDesde,FechaHasta,DeptoId,PersonaId
201812,201912,183,210
201204,201304,158,166
201401,201501,155,159
201606,201706,158,168
201808,201908,158,168
201205,201305,159,169
201805,201905,157,165
201406,201506,160,171
201409,201509,163,176
201207,201307,161,173
201407,201607,161,173
201208,201308,162,175
201209,201309,163,176
201609,201709,163,177
201602,201702,187,216
201510,201610,175,198
201303,201503,172,191
201304,201504,222,192
201808,201908,172,193
201602,201702,171,189
201305,201505,173,194
201709,201909,179,205
201612,201712,183,210
201306,201506,174,196
201306,201406,175,197
201311,201411,185,212
201509,201609,182,208
201307,201507,176,199
201307,201407,177,200
201611,201711,178,203
201710,201810,177,201
201308,201508,178,202
201802,201902,171,190
201404,201604,188,218
201405,201605,190,221
201308,201408,179,204
201508,201608,179,204
201309,201509,181,207
201309,201409,182,208
201708,201808,191,223
201709,201809,182,208
201310,201510,183,209
201706,201806,192,225
201707,201807,160,172
201310,201410,184,211
201405,201505,189,219
201705,201805,195,231
201410,201610,196,232
201511,201611,216,256
201411,201611,198,234
201505,201605,209,247
201707,201807,213,253
201809,201909,220,260
201510,201610,215,255
201512,201612,218,258
201711,201911,216,256
